#Path: /HepData/8405/d5-x1-y1
#VERBATIMThe average transverse momentum as a function of multiplicity of charged particles
#    having transverse momentum in the range 0.15-10 GeV/c and |eta| < 0.3 produced from PB-PB collisions 
#    at a centre-of mass energy/nucleon of 2.76 TeV
#Location: F 2
#ABS(ETARAP(P=3)) : < 0.3
#PT(P=3) : 0.15 - 10.0 GeV
#RE : PB PB --> CHARGED X
#SQRT(S)/NUCLEON : 2760.0 GeV
#x: MULT(P=3)
#y : MEAN(NAME=PT) IN GEV
#x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
66.0	65.5	66.5	0.6428	+1.5E-4	-1.5E-4	+0.008	-0.008
67.0	66.5	67.5	0.6431	+1.5E-4	-1.5E-4	+0.008	-0.008
68.0	67.5	68.5	0.6435	+1.5E-4	-1.5E-4	+0.008	-0.008
69.0	68.5	69.5	0.6438	+1.5E-4	-1.5E-4	+0.008	-0.008
70.0	69.5	70.5	0.6442	+1.5E-4	-1.5E-4	+0.008	-0.008
71.0	70.5	71.5	0.6445	+1.5E-4	-1.5E-4	+0.008	-0.008
72.0	71.5	72.5	0.6449	+1.5E-4	-1.5E-4	+0.008	-0.008
73.0	72.5	73.5	0.6452	+1.5E-4	-1.5E-4	+0.008	-0.008
74.0	73.5	74.5	0.6456	+1.5E-4	-1.5E-4	+0.008	-0.008
75.0	74.5	75.5	0.6459	+1.5E-4	-1.5E-4	+0.008	-0.008
76.0	75.5	76.5	0.6461	+1.5E-4	-1.5E-4	+0.008	-0.008
77.0	76.5	77.5	0.6466	+1.5E-4	-1.5E-4	+0.008	-0.008
78.0	77.5	78.5	0.6469	+1.4E-4	-1.4E-4	+0.008	-0.008
79.0	78.5	79.5	0.6473	+1.4E-4	-1.4E-4	+0.008	-0.008
80.0	79.5	80.5	0.6476	+1.4E-4	-1.4E-4	+0.008	-0.008
81.0	80.5	81.5	0.648	+1.4E-4	-1.4E-4	+0.008	-0.008
82.0	81.5	82.5	0.6483	+1.4E-4	-1.4E-4	+0.008	-0.008
83.0	82.5	83.5	0.6486	+1.4E-4	-1.4E-4	+0.0081	-0.0081
84.0	83.5	84.5	0.6489	+1.4E-4	-1.4E-4	+0.0081	-0.0081
85.0	84.5	85.5	0.6491	+1.4E-4	-1.4E-4	+0.0081	-0.0081
86.0	85.5	86.5	0.6494	+1.4E-4	-1.4E-4	+0.0081	-0.0081
87.0	86.5	87.5	0.6497	+1.4E-4	-1.4E-4	+0.0081	-0.0081
88.0	87.5	88.5	0.65	+1.4E-4	-1.4E-4	+0.0081	-0.0081
89.0	88.5	89.5	0.6503	+1.4E-4	-1.4E-4	+0.0081	-0.0081
90.0	89.5	90.5	0.6505	+1.4E-4	-1.4E-4	+0.0081	-0.0081
91.0	90.5	91.5	0.6507	+1.4E-4	-1.4E-4	+0.0081	-0.0081
92.0	91.5	92.5	0.651	+1.4E-4	-1.4E-4	+0.0081	-0.0081
93.0	92.5	93.5	0.6512	+1.4E-4	-1.4E-4	+0.0081	-0.0081
94.0	93.5	94.5	0.6516	+1.3E-4	-1.3E-4	+0.0081	-0.0081
95.0	94.5	95.5	0.6518	+1.3E-4	-1.3E-4	+0.0081	-0.0081
96.0	95.5	96.5	0.6522	+1.4E-4	-1.4E-4	+0.0081	-0.0081
97.0	96.5	97.5	0.6523	+1.3E-4	-1.3E-4	+0.0081	-0.0081
98.0	97.5	98.5	0.6526	+1.3E-4	-1.3E-4	+0.0081	-0.0081
99.0	98.5	99.5	0.6528	+1.3E-4	-1.3E-4	+0.0081	-0.0081
100.0	99.5	100.5	0.6531	+1.3E-4	-1.3E-4	+0.008	-0.008

